2020-01-16,​​​, 45 (--------)
2020-01-17,​​​, 62 (+38%)
2020-01-18,​​​, 121 (+95%)
2020-01-19,​​​, 198 (+64%)
2020-01-20,​​​, 291 (+47%)
2020-01-21,​​​, 440 (+51%)
2020-01-22,​​​, 571 (+30%)
2020-01-23,​​​, 830 (+45%)
2020-01-24,​​​," 1,287 (+55%)"
2020-01-25,​​​," 1,975 (+53%)"
2020-01-26,​​​," 2,744 (+39%)"
2020-01-27,​​​," 4,515 (+64%)"
2020-01-28,​​​," 5,974 (+32%)"
2020-01-29,​​​," 7,711 (+29%)"
2020-01-30,​​​," 9,692 (+26%)"
2020-01-31,​​​," 11,791 (+22%)"
2020-02-01,​​​," 14,380 (+22%)"
2020-02-02,​​​," 17,205 (+20%)"
2020-02-03,​​​," 20,438 (+19%)"
2020-02-04,​​​," 24,324 (+19%)"
2020-02-05,​​​," 28,018 (+15%)"
2020-02-06,​​​," 31,161 (+11%)"
2020-02-07,​​​," 34,546 (+11%)"
